Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
KMX,CARMAX INC,Consumer Discretionary,Equity,"3,292,750.34",0,"3,292,750.34","38,926.00",84.59,United States,New York Stock Exchange Inc.,USD,1,--
HLI,HOULIHAN LOKEY INC CLASS A,Financials,Equity,"3,136,453.62",0,"3,136,453.62","16,734.00",187.43,United States,New York Stock Exchange Inc.,USD,1,--
CHE,CHEMED CORP,Health Care,Equity,"3,055,937.19",0,"3,055,937.19","5,349.00",571.31,United States,New York Stock Exchange Inc.,USD,1,--
EPAM,EPAM SYSTEMS INC,Information Technology,Equity,"3,047,796.00",0,"3,047,796.00","12,400.00",245.79,United States,New York Stock Exchange Inc.,USD,1,--
LOAR,LOAR HOLDINGS INC,Industrials,Equity,"2,959,549.11",0,"2,959,549.11","33,317.00",88.83,United States,New York Stock Exchange Inc.,USD,1,--
CAR,AVIS BUDGET GROUP INC,Industrials,Equity,"2,716,537.56",0,"2,716,537.56","24,959.00",108.84,United States,NASDAQ,USD,1,--
SKX,SKECHERS USA INC CLASS A,Consumer Discretionary,Equity,"2,646,513.40",0,"2,646,513.40","41,540.00",63.71,United States,New York Stock Exchange Inc.,USD,1,--
SSD,SIMPSON MANUFACTURING INC,Industrials,Equity,"2,622,997.88",0,"2,622,997.88","14,044.00",186.77,United States,New York Stock Exchange Inc.,USD,1,--
WEX,WEX INC,Financials,Equity,"2,595,704.80",0,"2,595,704.80","13,676.00",189.8,United States,New York Stock Exchange Inc.,USD,1,--
BPOP,POPULAR INC,Financials,Equity,"2,587,634.28",0,"2,587,634.28","25,949.00",99.72,United States,NASDAQ,USD,1,--
INCY,INCYTE CORP,Health Care,Equity,"2,514,446.70",0,"2,514,446.70","33,326.00",75.45,United States,NASDAQ,USD,1,--
WYNN,WYNN RESORTS LTD,Consumer Discretionary,Equity,"2,483,248.63",0,"2,483,248.63","27,089.00",91.67,United States,NASDAQ,USD,1,--
KBR,KBR INC,Industrials,Equity,"2,472,344.98",0,"2,472,344.98","40,411.00",61.18,United States,New York Stock Exchange Inc.,USD,1,--
